True
True
Loading pretrained_checkpoints/0.0067.pth.tar
b
PSNR: 29.92dB
MS-SSIM: 15.60dB
Bit-rate: 0.529bpp
PSNR: 32.60dB
MS-SSIM: 12.23dB
Bit-rate: 0.154bpp
PSNR: 35.38dB
MS-SSIM: 16.17dB
Bit-rate: 0.141bpp
PSNR: 33.13dB
MS-SSIM: 14.01dB
Bit-rate: 0.187bpp
PSNR: 30.91dB
MS-SSIM: 16.80dB
Bit-rate: 0.551bpp
PSNR: 31.45dB
MS-SSIM: 14.44dB
Bit-rate: 0.380bpp
PSNR: 34.78dB
MS-SSIM: 18.37dB
Bit-rate: 0.215bpp
PSNR: 30.29dB
MS-SSIM: 16.80dB
Bit-rate: 0.584bpp
PSNR: 34.76dB
MS-SSIM: 16.92dB
Bit-rate: 0.167bpp
PSNR: 34.53dB
MS-SSIM: 15.92dB
Bit-rate: 0.174bpp
PSNR: 31.85dB
MS-SSIM: 13.98dB
Bit-rate: 0.304bpp
PSNR: 34.14dB
MS-SSIM: 13.96dB
Bit-rate: 0.145bpp
PSNR: 28.77dB
MS-SSIM: 14.78dB
Bit-rate: 0.820bpp
PSNR: 30.89dB
MS-SSIM: 14.63dB
Bit-rate: 0.405bpp
PSNR: 33.43dB
MS-SSIM: 15.10dB
Bit-rate: 0.177bpp
PSNR: 32.91dB
MS-SSIM: 14.30dB
Bit-rate: 0.220bpp
PSNR: 33.72dB
MS-SSIM: 15.54dB
Bit-rate: 0.207bpp
PSNR: 30.81dB
MS-SSIM: 14.62dB
Bit-rate: 0.453bpp
PSNR: 32.15dB
MS-SSIM: 14.45dB
Bit-rate: 0.254bpp
PSNR: 34.02dB
MS-SSIM: 16.39dB
Bit-rate: 0.167bpp
PSNR: 31.94dB
MS-SSIM: 16.06dB
Bit-rate: 0.356bpp
PSNR: 31.44dB
MS-SSIM: 13.26dB
Bit-rate: 0.287bpp
PSNR: 35.72dB
MS-SSIM: 16.25dB
Bit-rate: 0.127bpp
PSNR: 31.21dB
MS-SSIM: 15.65dB
Bit-rate: 0.456bpp
average_PSNR: 32.53dB
average_MS-SSIM: 15.2598
average_Bit-rate: 0.311 bpp
average_time: 0.179 ms
