True
True
Loading checkpoints_128/0.05checkpoint_best.pth.tar
b
PSNR: 36.27dB
MS-SSIM: 23.78dB
Bit-rate: 1.187bpp
PSNR: 36.10dB
MS-SSIM: 16.16dB
Bit-rate: 0.406bpp
PSNR: 35.34dB
MS-SSIM: 18.36dB
Bit-rate: 0.839bpp
PSNR: 34.13dB
MS-SSIM: 19.50dB
Bit-rate: 0.916bpp
PSNR: 38.58dB
MS-SSIM: 20.20dB
Bit-rate: 0.340bpp
PSNR: 32.66dB
MS-SSIM: 19.36dB
Bit-rate: 1.684bpp
PSNR: 37.99dB
MS-SSIM: 17.39dB
Bit-rate: 0.362bpp
PSNR: 38.66dB
MS-SSIM: 20.21dB
Bit-rate: 0.298bpp
PSNR: 33.01dB
MS-SSIM: 20.42dB
Bit-rate: 1.605bpp
PSNR: 38.82dB
MS-SSIM: 17.22dB
Bit-rate: 0.291bpp
PSNR: 35.36dB
MS-SSIM: 19.31dB
Bit-rate: 0.944bpp
PSNR: 36.75dB
MS-SSIM: 20.46dB
Bit-rate: 0.850bpp
PSNR: 36.69dB
MS-SSIM: 20.64dB
Bit-rate: 0.758bpp
PSNR: 38.11dB
MS-SSIM: 17.88dB
Bit-rate: 0.287bpp
PSNR: 37.87dB
MS-SSIM: 20.10dB
Bit-rate: 0.565bpp
PSNR: 36.24dB
MS-SSIM: 15.29dB
Bit-rate: 0.270bpp
PSNR: 36.19dB
MS-SSIM: 18.64dB
Bit-rate: 0.596bpp
PSNR: 35.47dB
MS-SSIM: 18.86dB
Bit-rate: 0.894bpp
PSNR: 39.76dB
MS-SSIM: 18.41dB
Bit-rate: 0.224bpp
PSNR: 33.63dB
MS-SSIM: 17.77dB
Bit-rate: 1.419bpp
PSNR: 33.80dB
MS-SSIM: 18.73dB
Bit-rate: 1.398bpp
PSNR: 32.81dB
MS-SSIM: 22.09dB
Bit-rate: 1.311bpp
PSNR: 39.56dB
MS-SSIM: 20.23dB
Bit-rate: 0.239bpp
PSNR: 36.61dB
MS-SSIM: 16.93dB
Bit-rate: 0.605bpp
PSNR: 37.57dB
MS-SSIM: 18.18dB
Bit-rate: 0.493bpp
PSNR: 32.50dB
MS-SSIM: 17.01dB
Bit-rate: 1.142bpp
PSNR: 35.54dB
MS-SSIM: 15.19dB
Bit-rate: 0.567bpp
PSNR: 38.07dB
MS-SSIM: 18.85dB
Bit-rate: 0.437bpp
PSNR: 40.23dB
MS-SSIM: 19.48dB
Bit-rate: 0.199bpp
PSNR: 34.55dB
MS-SSIM: 19.12dB
Bit-rate: 1.168bpp
PSNR: 34.83dB
MS-SSIM: 17.62dB
Bit-rate: 0.834bpp
PSNR: 36.78dB
MS-SSIM: 16.64dB
Bit-rate: 0.363bpp
PSNR: 37.80dB
MS-SSIM: 19.37dB
Bit-rate: 0.508bpp
PSNR: 35.32dB
MS-SSIM: 18.28dB
Bit-rate: 0.744bpp
PSNR: 39.32dB
MS-SSIM: 20.59dB
Bit-rate: 0.293bpp
PSNR: 37.72dB
MS-SSIM: 22.24dB
Bit-rate: 0.558bpp
PSNR: 37.48dB
MS-SSIM: 18.22dB
Bit-rate: 0.534bpp
PSNR: 35.07dB
MS-SSIM: 18.31dB
Bit-rate: 1.025bpp
PSNR: 34.21dB
MS-SSIM: 18.90dB
Bit-rate: 1.190bpp
PSNR: 35.89dB
MS-SSIM: 19.18dB
Bit-rate: 0.787bpp
PSNR: 35.89dB
MS-SSIM: 16.55dB
Bit-rate: 0.512bpp
average_PSNR: 36.32dB
average_MS-SSIM: 18.8215
average_Bit-rate: 0.723 bpp
average_time: 1.070 ms
