True
True
Loading checkpoints_128/0.05checkpoint_best.pth.tar
b
PSNR: 34.02dB
MS-SSIM: 20.38dB
Bit-rate: 1.529bpp
PSNR: 35.98dB
MS-SSIM: 16.31dB
Bit-rate: 0.812bpp
PSNR: 37.79dB
MS-SSIM: 18.72dB
Bit-rate: 0.561bpp
PSNR: 36.22dB
MS-SSIM: 18.02dB
Bit-rate: 0.771bpp
PSNR: 34.44dB
MS-SSIM: 21.41dB
Bit-rate: 1.527bpp
PSNR: 35.15dB
MS-SSIM: 18.82dB
Bit-rate: 1.159bpp
PSNR: 37.36dB
MS-SSIM: 20.74dB
Bit-rate: 0.700bpp
PSNR: 33.41dB
MS-SSIM: 21.13dB
Bit-rate: 1.638bpp
PSNR: 37.29dB
MS-SSIM: 18.71dB
Bit-rate: 0.584bpp
PSNR: 37.14dB
MS-SSIM: 18.53dB
Bit-rate: 0.649bpp
PSNR: 35.42dB
MS-SSIM: 18.75dB
Bit-rate: 1.039bpp
PSNR: 37.13dB
MS-SSIM: 17.57dB
Bit-rate: 0.668bpp
PSNR: 31.73dB
MS-SSIM: 19.51dB
Bit-rate: 1.828bpp
PSNR: 34.63dB
MS-SSIM: 19.64dB
Bit-rate: 1.293bpp
PSNR: 36.29dB
MS-SSIM: 18.34dB
Bit-rate: 0.740bpp
PSNR: 36.76dB
MS-SSIM: 18.58dB
Bit-rate: 0.830bpp
PSNR: 36.73dB
MS-SSIM: 19.51dB
Bit-rate: 0.705bpp
PSNR: 33.78dB
MS-SSIM: 18.39dB
Bit-rate: 1.211bpp
PSNR: 35.78dB
MS-SSIM: 18.33dB
Bit-rate: 0.929bpp
PSNR: 37.00dB
MS-SSIM: 19.37dB
Bit-rate: 0.638bpp
PSNR: 35.29dB
MS-SSIM: 18.78dB
Bit-rate: 0.941bpp
PSNR: 35.10dB
MS-SSIM: 17.57dB
Bit-rate: 1.002bpp
PSNR: 37.41dB
MS-SSIM: 18.70dB
Bit-rate: 0.473bpp
PSNR: 34.08dB
MS-SSIM: 19.88dB
Bit-rate: 1.224bpp
average_PSNR: 35.66dB
average_MS-SSIM: 18.9878
average_Bit-rate: 0.977 bpp
average_time: 0.272 ms
