True
True
Loading checkpoints_128/0.05checkpoint_best.pth.tar
b
PSNR: 37.48dB
MS-SSIM: 19.41dB
Bit-rate: 0.722bpp
PSNR: 39.76dB
MS-SSIM: 18.65dB
Bit-rate: 0.300bpp
PSNR: 37.80dB
MS-SSIM: 20.36dB
Bit-rate: 0.415bpp
PSNR: 36.39dB
MS-SSIM: 16.50dB
Bit-rate: 0.502bpp
PSNR: 39.58dB
MS-SSIM: 20.79dB
Bit-rate: 0.269bpp
PSNR: 38.10dB
MS-SSIM: 18.31dB
Bit-rate: 0.376bpp
PSNR: 39.84dB
MS-SSIM: 21.83dB
Bit-rate: 0.383bpp
PSNR: 35.73dB
MS-SSIM: 21.09dB
Bit-rate: 1.040bpp
PSNR: 37.70dB
MS-SSIM: 20.93dB
Bit-rate: 0.632bpp
PSNR: 37.37dB
MS-SSIM: 18.79dB
Bit-rate: 0.779bpp
PSNR: 38.00dB
MS-SSIM: 20.84dB
Bit-rate: 0.233bpp
PSNR: 35.57dB
MS-SSIM: 23.68dB
Bit-rate: 1.046bpp
PSNR: 36.99dB
MS-SSIM: 18.87dB
Bit-rate: 0.781bpp
PSNR: 39.37dB
MS-SSIM: 19.57dB
Bit-rate: 0.224bpp
PSNR: 39.29dB
MS-SSIM: 19.46dB
Bit-rate: 0.273bpp
PSNR: 40.75dB
MS-SSIM: 24.05dB
Bit-rate: 0.333bpp
PSNR: 36.74dB
MS-SSIM: 20.72dB
Bit-rate: 0.787bpp
PSNR: 36.19dB
MS-SSIM: 19.32dB
Bit-rate: 0.880bpp
PSNR: 37.16dB
MS-SSIM: 16.55dB
Bit-rate: 0.604bpp
PSNR: 38.70dB
MS-SSIM: 18.36dB
Bit-rate: 0.410bpp
PSNR: 37.48dB
MS-SSIM: 19.77dB
Bit-rate: 0.676bpp
PSNR: 37.50dB
MS-SSIM: 20.50dB
Bit-rate: 0.763bpp
PSNR: 37.75dB
MS-SSIM: 19.09dB
Bit-rate: 0.563bpp
PSNR: 39.96dB
MS-SSIM: 22.46dB
Bit-rate: 0.421bpp
PSNR: 36.31dB
MS-SSIM: 16.91dB
Bit-rate: 0.652bpp
PSNR: 37.00dB
MS-SSIM: 20.40dB
Bit-rate: 0.425bpp
PSNR: 37.63dB
MS-SSIM: 20.63dB
Bit-rate: 0.401bpp
PSNR: 39.27dB
MS-SSIM: 20.93dB
Bit-rate: 0.456bpp
PSNR: 36.67dB
MS-SSIM: 16.08dB
Bit-rate: 0.596bpp
PSNR: 38.97dB
MS-SSIM: 23.88dB
Bit-rate: 0.448bpp
PSNR: 36.38dB
MS-SSIM: 22.13dB
Bit-rate: 1.001bpp
PSNR: 35.80dB
MS-SSIM: 24.42dB
Bit-rate: 1.110bpp
PSNR: 39.78dB
MS-SSIM: 20.29dB
Bit-rate: 0.372bpp
PSNR: 34.87dB
MS-SSIM: 19.17dB
Bit-rate: 1.254bpp
PSNR: 37.55dB
MS-SSIM: 19.22dB
Bit-rate: 0.558bpp
PSNR: 38.31dB
MS-SSIM: 19.11dB
Bit-rate: 0.352bpp
PSNR: 40.84dB
MS-SSIM: 20.79dB
Bit-rate: 0.283bpp
PSNR: 36.82dB
MS-SSIM: 20.23dB
Bit-rate: 0.713bpp
PSNR: 37.33dB
MS-SSIM: 17.30dB
Bit-rate: 0.500bpp
PSNR: 41.09dB
MS-SSIM: 21.06dB
Bit-rate: 0.255bpp
average_PSNR: 37.89dB
average_MS-SSIM: 20.0618
average_Bit-rate: 0.570 bpp
average_time: 0.742 ms
