True
True
Loading pretrained_checkpoints/mse_lambda_0.05.pth.tar
b
PSNR: 39.67dB
MS-SSIM: 27.13dB
Bit-rate: 0.712bpp
PSNR: 36.77dB
MS-SSIM: 16.57dB
Bit-rate: 0.371bpp
PSNR: 37.74dB
MS-SSIM: 20.09dB
Bit-rate: 0.819bpp
PSNR: 36.85dB
MS-SSIM: 21.51dB
Bit-rate: 0.745bpp
PSNR: 41.30dB
MS-SSIM: 22.06dB
Bit-rate: 0.233bpp
PSNR: 35.75dB
MS-SSIM: 21.67dB
Bit-rate: 1.840bpp
PSNR: 39.38dB
MS-SSIM: 18.20dB
Bit-rate: 0.300bpp
PSNR: 40.94dB
MS-SSIM: 21.90dB
Bit-rate: 0.204bpp
PSNR: 35.89dB
MS-SSIM: 22.78dB
Bit-rate: 1.547bpp
PSNR: 40.57dB
MS-SSIM: 18.30dB
Bit-rate: 0.242bpp
PSNR: 37.26dB
MS-SSIM: 20.55dB
Bit-rate: 0.889bpp
PSNR: 38.29dB
MS-SSIM: 21.59dB
Bit-rate: 0.609bpp
PSNR: 39.24dB
MS-SSIM: 22.46dB
Bit-rate: 0.518bpp
PSNR: 40.57dB
MS-SSIM: 19.38dB
Bit-rate: 0.201bpp
PSNR: 40.53dB
MS-SSIM: 21.82dB
Bit-rate: 0.411bpp
PSNR: 37.27dB
MS-SSIM: 15.74dB
Bit-rate: 0.192bpp
PSNR: 38.88dB
MS-SSIM: 20.14dB
Bit-rate: 0.547bpp
PSNR: 37.92dB
MS-SSIM: 20.39dB
Bit-rate: 0.848bpp
PSNR: 41.89dB
MS-SSIM: 19.53dB
Bit-rate: 0.159bpp
PSNR: 36.70dB
MS-SSIM: 20.32dB
Bit-rate: 1.445bpp
PSNR: 35.77dB
MS-SSIM: 19.96dB
Bit-rate: 1.265bpp
PSNR: 37.76dB
MS-SSIM: 24.33dB
Bit-rate: 1.311bpp
PSNR: 43.65dB
MS-SSIM: 22.86dB
Bit-rate: 0.160bpp
PSNR: 38.45dB
MS-SSIM: 18.26dB
Bit-rate: 0.566bpp
PSNR: 39.77dB
MS-SSIM: 19.70dB
Bit-rate: 0.368bpp
PSNR: 36.09dB
MS-SSIM: 19.08dB
Bit-rate: 1.193bpp
PSNR: 37.02dB
MS-SSIM: 16.66dB
Bit-rate: 0.589bpp
PSNR: 40.61dB
MS-SSIM: 20.35dB
Bit-rate: 0.304bpp
PSNR: 42.76dB
MS-SSIM: 20.93dB
Bit-rate: 0.171bpp
PSNR: 36.47dB
MS-SSIM: 20.26dB
Bit-rate: 0.993bpp
PSNR: 38.09dB
MS-SSIM: 20.05dB
Bit-rate: 0.642bpp
PSNR: 38.51dB
MS-SSIM: 17.56dB
Bit-rate: 0.277bpp
PSNR: 40.02dB
MS-SSIM: 21.02dB
Bit-rate: 0.436bpp
PSNR: 37.73dB
MS-SSIM: 19.62dB
Bit-rate: 0.796bpp
PSNR: 41.82dB
MS-SSIM: 22.25dB
Bit-rate: 0.232bpp
PSNR: 40.24dB
MS-SSIM: 24.21dB
Bit-rate: 0.418bpp
PSNR: 39.64dB
MS-SSIM: 20.39dB
Bit-rate: 0.358bpp
PSNR: 37.23dB
MS-SSIM: 19.94dB
Bit-rate: 0.952bpp
PSNR: 37.04dB
MS-SSIM: 20.80dB
Bit-rate: 1.020bpp
PSNR: 38.54dB
MS-SSIM: 21.68dB
Bit-rate: 0.778bpp
PSNR: 37.99dB
MS-SSIM: 18.46dB
Bit-rate: 0.540bpp
average_PSNR: 38.75dB
average_MS-SSIM: 20.4996
average_Bit-rate: 0.639 bpp
average_time: 1.066 ms
