True
True
Loading pretrained_checkpoints/mse_lambda_0.05.pth.tar
b
PSNR: 36.75dB
MS-SSIM: 22.42dB
Bit-rate: 1.495bpp
PSNR: 37.74dB
MS-SSIM: 17.82dB
Bit-rate: 0.634bpp
PSNR: 40.35dB
MS-SSIM: 20.62dB
Bit-rate: 0.405bpp
PSNR: 38.21dB
MS-SSIM: 19.31dB
Bit-rate: 0.639bpp
PSNR: 37.17dB
MS-SSIM: 23.35dB
Bit-rate: 1.327bpp
PSNR: 37.62dB
MS-SSIM: 20.53dB
Bit-rate: 1.068bpp
PSNR: 40.04dB
MS-SSIM: 22.74dB
Bit-rate: 0.513bpp
PSNR: 36.37dB
MS-SSIM: 22.67dB
Bit-rate: 1.437bpp
PSNR: 39.21dB
MS-SSIM: 20.01dB
Bit-rate: 0.431bpp
PSNR: 39.05dB
MS-SSIM: 20.09dB
Bit-rate: 0.455bpp
PSNR: 37.62dB
MS-SSIM: 20.09dB
Bit-rate: 0.922bpp
PSNR: 38.96dB
MS-SSIM: 18.86dB
Bit-rate: 0.497bpp
PSNR: 35.78dB
MS-SSIM: 22.11dB
Bit-rate: 2.071bpp
PSNR: 36.87dB
MS-SSIM: 21.02dB
Bit-rate: 1.183bpp
PSNR: 38.57dB
MS-SSIM: 19.67dB
Bit-rate: 0.588bpp
PSNR: 38.57dB
MS-SSIM: 20.12dB
Bit-rate: 0.710bpp
PSNR: 38.61dB
MS-SSIM: 20.50dB
Bit-rate: 0.579bpp
PSNR: 36.40dB
MS-SSIM: 19.75dB
Bit-rate: 1.190bpp
PSNR: 37.72dB
MS-SSIM: 19.66dB
Bit-rate: 0.818bpp
PSNR: 39.19dB
MS-SSIM: 20.52dB
Bit-rate: 0.532bpp
PSNR: 37.77dB
MS-SSIM: 20.06dB
Bit-rate: 0.931bpp
PSNR: 37.13dB
MS-SSIM: 19.05dB
Bit-rate: 0.951bpp
PSNR: 40.02dB
MS-SSIM: 20.40dB
Bit-rate: 0.343bpp
PSNR: 37.33dB
MS-SSIM: 21.79dB
Bit-rate: 1.136bpp
average_PSNR: 38.04dB
average_MS-SSIM: 20.5477
average_Bit-rate: 0.869 bpp
average_time: 0.254 ms
