True
True
Loading pretrained_checkpoints/mse_lambda_0.05.pth.tar
b
PSNR: 39.75dB
MS-SSIM: 21.08dB
Bit-rate: 0.515bpp
PSNR: 43.17dB
MS-SSIM: 20.50dB
Bit-rate: 0.191bpp
PSNR: 44.25dB
MS-SSIM: 23.79dB
Bit-rate: 0.208bpp
PSNR: 40.24dB
MS-SSIM: 18.56dB
Bit-rate: 0.386bpp
PSNR: 45.52dB
MS-SSIM: 23.90dB
Bit-rate: 0.151bpp
PSNR: 42.93dB
MS-SSIM: 20.77dB
Bit-rate: 0.244bpp
PSNR: 44.20dB
MS-SSIM: 25.20dB
Bit-rate: 0.244bpp
PSNR: 39.49dB
MS-SSIM: 23.31dB
Bit-rate: 0.639bpp
PSNR: 41.26dB
MS-SSIM: 23.24dB
Bit-rate: 0.400bpp
PSNR: 40.11dB
MS-SSIM: 21.06dB
Bit-rate: 0.512bpp
PSNR: 46.77dB
MS-SSIM: 24.66dB
Bit-rate: 0.101bpp
PSNR: 39.90dB
MS-SSIM: 25.97dB
Bit-rate: 0.563bpp
PSNR: 38.93dB
MS-SSIM: 20.31dB
Bit-rate: 0.618bpp
PSNR: 43.39dB
MS-SSIM: 21.56dB
Bit-rate: 0.142bpp
PSNR: 43.94dB
MS-SSIM: 21.69dB
Bit-rate: 0.152bpp
PSNR: 44.58dB
MS-SSIM: 26.39dB
Bit-rate: 0.203bpp
PSNR: 40.50dB
MS-SSIM: 23.28dB
Bit-rate: 0.553bpp
PSNR: 38.21dB
MS-SSIM: 20.89dB
Bit-rate: 0.792bpp
PSNR: 39.80dB
MS-SSIM: 18.42dB
Bit-rate: 0.404bpp
PSNR: 41.78dB
MS-SSIM: 20.16dB
Bit-rate: 0.256bpp
PSNR: 39.82dB
MS-SSIM: 21.56dB
Bit-rate: 0.538bpp
PSNR: 40.87dB
MS-SSIM: 22.83dB
Bit-rate: 0.479bpp
PSNR: 40.08dB
MS-SSIM: 20.40dB
Bit-rate: 0.415bpp
PSNR: 43.31dB
MS-SSIM: 25.48dB
Bit-rate: 0.300bpp
PSNR: 39.26dB
MS-SSIM: 18.57dB
Bit-rate: 0.493bpp
PSNR: 42.66dB
MS-SSIM: 23.19dB
Bit-rate: 0.251bpp
PSNR: 42.91dB
MS-SSIM: 23.62dB
Bit-rate: 0.240bpp
PSNR: 42.24dB
MS-SSIM: 23.00dB
Bit-rate: 0.346bpp
PSNR: 39.64dB
MS-SSIM: 18.40dB
Bit-rate: 0.498bpp
PSNR: 43.29dB
MS-SSIM: 27.53dB
Bit-rate: 0.272bpp
PSNR: 38.45dB
MS-SSIM: 23.69dB
Bit-rate: 0.801bpp
PSNR: 38.72dB
MS-SSIM: 26.65dB
Bit-rate: 0.889bpp
PSNR: 42.66dB
MS-SSIM: 22.14dB
Bit-rate: 0.266bpp
PSNR: 37.11dB
MS-SSIM: 21.04dB
Bit-rate: 1.147bpp
PSNR: 41.14dB
MS-SSIM: 21.50dB
Bit-rate: 0.352bpp
PSNR: 42.47dB
MS-SSIM: 21.13dB
Bit-rate: 0.218bpp
PSNR: 44.92dB
MS-SSIM: 22.99dB
Bit-rate: 0.152bpp
PSNR: 39.82dB
MS-SSIM: 21.81dB
Bit-rate: 0.478bpp
PSNR: 39.96dB
MS-SSIM: 18.83dB
Bit-rate: 0.359bpp
PSNR: 45.02dB
MS-SSIM: 23.35dB
Bit-rate: 0.148bpp
average_PSNR: 41.58dB
average_MS-SSIM: 22.3122
average_Bit-rate: 0.398 bpp
average_time: 0.729 ms
