True
True
Loading checkpoints/0.05checkpoint_best.pth.tar
b
PSNR: 33.34dB
MS-SSIM: 23.48dB
Bit-rate: 1.174bpp
PSNR: 35.83dB
MS-SSIM: 16.31dB
Bit-rate: 0.445bpp
PSNR: 33.57dB
MS-SSIM: 18.12dB
Bit-rate: 0.793bpp
PSNR: 33.84dB
MS-SSIM: 19.15dB
Bit-rate: 0.920bpp
PSNR: 38.14dB
MS-SSIM: 20.10dB
Bit-rate: 0.369bpp
PSNR: 31.24dB
MS-SSIM: 18.55dB
Bit-rate: 1.512bpp
PSNR: 35.67dB
MS-SSIM: 17.18dB
Bit-rate: 0.370bpp
PSNR: 37.63dB
MS-SSIM: 20.12dB
Bit-rate: 0.320bpp
PSNR: 31.57dB
MS-SSIM: 19.61dB
Bit-rate: 1.502bpp
PSNR: 34.56dB
MS-SSIM: 16.82dB
Bit-rate: 0.286bpp
PSNR: 34.76dB
MS-SSIM: 19.06dB
Bit-rate: 0.939bpp
PSNR: 35.16dB
MS-SSIM: 20.25dB
Bit-rate: 0.876bpp
PSNR: 35.54dB
MS-SSIM: 20.27dB
Bit-rate: 0.776bpp
PSNR: 35.30dB
MS-SSIM: 17.41dB
Bit-rate: 0.300bpp
PSNR: 37.30dB
MS-SSIM: 20.07dB
Bit-rate: 0.581bpp
PSNR: 34.65dB
MS-SSIM: 15.15dB
Bit-rate: 0.301bpp
PSNR: 33.70dB
MS-SSIM: 18.28dB
Bit-rate: 0.566bpp
PSNR: 33.00dB
MS-SSIM: 18.35dB
Bit-rate: 0.842bpp
PSNR: 37.30dB
MS-SSIM: 18.21dB
Bit-rate: 0.237bpp
PSNR: 32.19dB
MS-SSIM: 17.02dB
Bit-rate: 1.279bpp
PSNR: 32.88dB
MS-SSIM: 18.27dB
Bit-rate: 1.311bpp
PSNR: 29.96dB
MS-SSIM: 21.28dB
Bit-rate: 1.197bpp
PSNR: 33.87dB
MS-SSIM: 19.86dB
Bit-rate: 0.241bpp
PSNR: 35.75dB
MS-SSIM: 16.59dB
Bit-rate: 0.584bpp
PSNR: 33.70dB
MS-SSIM: 17.95dB
Bit-rate: 0.504bpp
PSNR: 30.56dB
MS-SSIM: 16.15dB
Bit-rate: 1.052bpp
PSNR: 35.44dB
MS-SSIM: 15.06dB
Bit-rate: 0.566bpp
PSNR: 38.25dB
MS-SSIM: 18.54dB
Bit-rate: 0.461bpp
PSNR: 39.66dB
MS-SSIM: 19.23dB
Bit-rate: 0.212bpp
PSNR: 33.60dB
MS-SSIM: 18.76dB
Bit-rate: 1.131bpp
PSNR: 32.67dB
MS-SSIM: 16.79dB
Bit-rate: 0.826bpp
PSNR: 37.00dB
MS-SSIM: 16.54dB
Bit-rate: 0.384bpp
PSNR: 36.43dB
MS-SSIM: 18.99dB
Bit-rate: 0.499bpp
PSNR: 33.84dB
MS-SSIM: 18.07dB
Bit-rate: 0.698bpp
PSNR: 37.99dB
MS-SSIM: 20.32dB
Bit-rate: 0.293bpp
PSNR: 35.30dB
MS-SSIM: 21.76dB
Bit-rate: 0.568bpp
PSNR: 36.34dB
MS-SSIM: 19.15dB
Bit-rate: 0.553bpp
PSNR: 34.28dB
MS-SSIM: 17.69dB
Bit-rate: 0.998bpp
PSNR: 33.33dB
MS-SSIM: 18.49dB
Bit-rate: 1.144bpp
PSNR: 34.07dB
MS-SSIM: 18.88dB
Bit-rate: 0.743bpp
PSNR: 34.89dB
MS-SSIM: 16.81dB
Bit-rate: 0.481bpp
average_PSNR: 34.73dB
average_MS-SSIM: 18.5048
average_Bit-rate: 0.703 bpp
average_time: 0.547 ms
