True
True
Loading checkpoints/0.05checkpoint_best.pth.tar
b
PSNR: 32.68dB
MS-SSIM: 19.68dB
Bit-rate: 1.403bpp
PSNR: 35.55dB
MS-SSIM: 16.15dB
Bit-rate: 0.821bpp
PSNR: 37.12dB
MS-SSIM: 18.43dB
Bit-rate: 0.567bpp
PSNR: 35.22dB
MS-SSIM: 17.56dB
Bit-rate: 0.758bpp
PSNR: 33.26dB
MS-SSIM: 20.70dB
Bit-rate: 1.464bpp
PSNR: 33.93dB
MS-SSIM: 18.39dB
Bit-rate: 1.095bpp
PSNR: 36.72dB
MS-SSIM: 20.37dB
Bit-rate: 0.715bpp
PSNR: 31.78dB
MS-SSIM: 20.48dB
Bit-rate: 1.525bpp
PSNR: 35.96dB
MS-SSIM: 18.40dB
Bit-rate: 0.581bpp
PSNR: 36.02dB
MS-SSIM: 18.23dB
Bit-rate: 0.662bpp
PSNR: 34.45dB
MS-SSIM: 18.30dB
Bit-rate: 1.000bpp
PSNR: 35.89dB
MS-SSIM: 17.31dB
Bit-rate: 0.677bpp
PSNR: 29.76dB
MS-SSIM: 18.59dB
Bit-rate: 1.634bpp
PSNR: 33.66dB
MS-SSIM: 19.16dB
Bit-rate: 1.238bpp
PSNR: 34.85dB
MS-SSIM: 17.85dB
Bit-rate: 0.722bpp
PSNR: 35.90dB
MS-SSIM: 18.30dB
Bit-rate: 0.799bpp
PSNR: 35.99dB
MS-SSIM: 19.36dB
Bit-rate: 0.717bpp
PSNR: 32.68dB
MS-SSIM: 18.02dB
Bit-rate: 1.151bpp
PSNR: 34.54dB
MS-SSIM: 17.96dB
Bit-rate: 0.882bpp
PSNR: 35.50dB
MS-SSIM: 19.02dB
Bit-rate: 0.620bpp
PSNR: 33.68dB
MS-SSIM: 18.44dB
Bit-rate: 0.885bpp
PSNR: 33.98dB
MS-SSIM: 17.11dB
Bit-rate: 0.958bpp
PSNR: 36.95dB
MS-SSIM: 18.47dB
Bit-rate: 0.490bpp
PSNR: 32.25dB
MS-SSIM: 19.29dB
Bit-rate: 1.158bpp
average_PSNR: 34.51dB
average_MS-SSIM: 18.5654
average_Bit-rate: 0.938 bpp
average_time: 0.178 ms
