True
True
Loading checkpoints/0.05checkpoint_best.pth.tar
b
PSNR: 36.76dB
MS-SSIM: 19.25dB
Bit-rate: 0.777bpp
PSNR: 36.43dB
MS-SSIM: 18.27dB
Bit-rate: 0.323bpp
PSNR: 36.08dB
MS-SSIM: 19.82dB
Bit-rate: 0.462bpp
PSNR: 33.40dB
MS-SSIM: 16.38dB
Bit-rate: 0.555bpp
PSNR: 37.36dB
MS-SSIM: 20.17dB
Bit-rate: 0.296bpp
PSNR: 34.05dB
MS-SSIM: 18.14dB
Bit-rate: 0.420bpp
PSNR: 37.99dB
MS-SSIM: 21.32dB
Bit-rate: 0.419bpp
PSNR: 33.18dB
MS-SSIM: 19.92dB
Bit-rate: 1.069bpp
PSNR: 33.64dB
MS-SSIM: 20.36dB
Bit-rate: 0.659bpp
PSNR: 36.04dB
MS-SSIM: 17.71dB
Bit-rate: 0.771bpp
PSNR: 36.51dB
MS-SSIM: 20.26dB
Bit-rate: 0.271bpp
PSNR: 34.99dB
MS-SSIM: 23.34dB
Bit-rate: 1.118bpp
PSNR: 36.27dB
MS-SSIM: 18.56dB
Bit-rate: 0.798bpp
PSNR: 37.31dB
MS-SSIM: 19.21dB
Bit-rate: 0.254bpp
PSNR: 38.77dB
MS-SSIM: 19.13dB
Bit-rate: 0.303bpp
PSNR: 36.45dB
MS-SSIM: 23.28dB
Bit-rate: 0.361bpp
PSNR: 34.74dB
MS-SSIM: 20.14dB
Bit-rate: 0.823bpp
PSNR: 35.19dB
MS-SSIM: 18.99dB
Bit-rate: 0.890bpp
PSNR: 37.11dB
MS-SSIM: 16.62dB
Bit-rate: 0.614bpp
PSNR: 37.57dB
MS-SSIM: 18.25dB
Bit-rate: 0.435bpp
PSNR: 37.05dB
MS-SSIM: 19.58dB
Bit-rate: 0.706bpp
PSNR: 37.27dB
MS-SSIM: 20.14dB
Bit-rate: 0.802bpp
PSNR: 36.26dB
MS-SSIM: 19.11dB
Bit-rate: 0.612bpp
PSNR: 35.11dB
MS-SSIM: 22.30dB
Bit-rate: 0.457bpp
PSNR: 35.03dB
MS-SSIM: 16.82dB
Bit-rate: 0.708bpp
PSNR: 36.08dB
MS-SSIM: 20.00dB
Bit-rate: 0.476bpp
PSNR: 36.57dB
MS-SSIM: 20.22dB
Bit-rate: 0.448bpp
PSNR: 36.25dB
MS-SSIM: 20.45dB
Bit-rate: 0.490bpp
PSNR: 34.71dB
MS-SSIM: 16.04dB
Bit-rate: 0.644bpp
PSNR: 35.75dB
MS-SSIM: 24.24dB
Bit-rate: 0.497bpp
PSNR: 35.80dB
MS-SSIM: 21.94dB
Bit-rate: 1.056bpp
PSNR: 34.40dB
MS-SSIM: 24.05dB
Bit-rate: 1.126bpp
PSNR: 37.62dB
MS-SSIM: 19.92dB
Bit-rate: 0.395bpp
PSNR: 34.28dB
MS-SSIM: 18.43dB
Bit-rate: 1.220bpp
PSNR: 36.89dB
MS-SSIM: 19.02dB
Bit-rate: 0.605bpp
PSNR: 38.30dB
MS-SSIM: 18.89dB
Bit-rate: 0.377bpp
PSNR: 38.05dB
MS-SSIM: 20.29dB
Bit-rate: 0.318bpp
PSNR: 35.94dB
MS-SSIM: 20.02dB
Bit-rate: 0.750bpp
PSNR: 36.71dB
MS-SSIM: 17.48dB
Bit-rate: 0.573bpp
PSNR: 36.04dB
MS-SSIM: 20.96dB
Bit-rate: 0.277bpp
average_PSNR: 36.10dB
average_MS-SSIM: 19.7254
average_Bit-rate: 0.604 bpp
average_time: 0.375 ms
