True
True
Loading pretrained_checkpoints/0.05.pth.tar
b
PSNR: 39.55dB
MS-SSIM: 27.03dB
Bit-rate: 0.786bpp
PSNR: 36.78dB
MS-SSIM: 16.58dB
Bit-rate: 0.376bpp
PSNR: 37.72dB
MS-SSIM: 20.10dB
Bit-rate: 0.833bpp
PSNR: 36.73dB
MS-SSIM: 21.38dB
Bit-rate: 0.763bpp
PSNR: 41.16dB
MS-SSIM: 21.95dB
Bit-rate: 0.240bpp
PSNR: 35.68dB
MS-SSIM: 21.61dB
Bit-rate: 1.856bpp
PSNR: 39.38dB
MS-SSIM: 18.25dB
Bit-rate: 0.310bpp
PSNR: 40.85dB
MS-SSIM: 21.81dB
Bit-rate: 0.210bpp
PSNR: 35.78dB
MS-SSIM: 22.71dB
Bit-rate: 1.582bpp
PSNR: 40.55dB
MS-SSIM: 18.29dB
Bit-rate: 0.250bpp
PSNR: 37.25dB
MS-SSIM: 20.58dB
Bit-rate: 0.908bpp
PSNR: 38.26dB
MS-SSIM: 21.56dB
Bit-rate: 0.635bpp
PSNR: 39.09dB
MS-SSIM: 22.38dB
Bit-rate: 0.551bpp
PSNR: 40.51dB
MS-SSIM: 19.32dB
Bit-rate: 0.209bpp
PSNR: 40.40dB
MS-SSIM: 21.75dB
Bit-rate: 0.430bpp
PSNR: 37.27dB
MS-SSIM: 15.78dB
Bit-rate: 0.204bpp
PSNR: 38.77dB
MS-SSIM: 20.12dB
Bit-rate: 0.557bpp
PSNR: 37.89dB
MS-SSIM: 20.39dB
Bit-rate: 0.868bpp
PSNR: 41.84dB
MS-SSIM: 19.53dB
Bit-rate: 0.166bpp
PSNR: 36.57dB
MS-SSIM: 20.23dB
Bit-rate: 1.488bpp
PSNR: 35.77dB
MS-SSIM: 19.99dB
Bit-rate: 1.314bpp
PSNR: 37.68dB
MS-SSIM: 24.28dB
Bit-rate: 1.334bpp
PSNR: 43.45dB
MS-SSIM: 22.73dB
Bit-rate: 0.167bpp
PSNR: 38.44dB
MS-SSIM: 18.31dB
Bit-rate: 0.578bpp
PSNR: 39.74dB
MS-SSIM: 19.68dB
Bit-rate: 0.385bpp
PSNR: 35.96dB
MS-SSIM: 19.03dB
Bit-rate: 1.211bpp
PSNR: 37.08dB
MS-SSIM: 16.67dB
Bit-rate: 0.607bpp
PSNR: 40.51dB
MS-SSIM: 20.29dB
Bit-rate: 0.325bpp
PSNR: 42.76dB
MS-SSIM: 20.90dB
Bit-rate: 0.177bpp
PSNR: 36.46dB
MS-SSIM: 20.28dB
Bit-rate: 1.035bpp
PSNR: 37.84dB
MS-SSIM: 19.81dB
Bit-rate: 0.676bpp
PSNR: 38.50dB
MS-SSIM: 17.59dB
Bit-rate: 0.292bpp
PSNR: 39.95dB
MS-SSIM: 20.95dB
Bit-rate: 0.449bpp
PSNR: 37.67dB
MS-SSIM: 19.59dB
Bit-rate: 0.799bpp
PSNR: 41.73dB
MS-SSIM: 22.19dB
Bit-rate: 0.239bpp
PSNR: 40.13dB
MS-SSIM: 24.10dB
Bit-rate: 0.441bpp
PSNR: 39.57dB
MS-SSIM: 20.39dB
Bit-rate: 0.379bpp
PSNR: 37.15dB
MS-SSIM: 19.91dB
Bit-rate: 0.969bpp
PSNR: 36.90dB
MS-SSIM: 20.78dB
Bit-rate: 1.056bpp
PSNR: 38.45dB
MS-SSIM: 21.60dB
Bit-rate: 0.787bpp
PSNR: 38.04dB
MS-SSIM: 18.54dB
Bit-rate: 0.549bpp
average_PSNR: 38.68dB
average_MS-SSIM: 20.4628
average_Bit-rate: 0.658 bpp
average_time: 0.554 ms
