True
True
Loading pretrained_checkpoints/0.05.pth.tar
b
PSNR: 36.74dB
MS-SSIM: 22.40dB
Bit-rate: 1.529bpp
PSNR: 37.74dB
MS-SSIM: 17.84dB
Bit-rate: 0.663bpp
PSNR: 40.23dB
MS-SSIM: 20.58dB
Bit-rate: 0.426bpp
PSNR: 38.17dB
MS-SSIM: 19.26dB
Bit-rate: 0.665bpp
PSNR: 37.03dB
MS-SSIM: 23.29dB
Bit-rate: 1.385bpp
PSNR: 37.56dB
MS-SSIM: 20.46dB
Bit-rate: 1.091bpp
PSNR: 39.89dB
MS-SSIM: 22.64dB
Bit-rate: 0.547bpp
PSNR: 36.34dB
MS-SSIM: 22.74dB
Bit-rate: 1.513bpp
PSNR: 39.15dB
MS-SSIM: 19.94dB
Bit-rate: 0.449bpp
PSNR: 38.95dB
MS-SSIM: 19.97dB
Bit-rate: 0.484bpp
PSNR: 37.56dB
MS-SSIM: 20.06dB
Bit-rate: 0.948bpp
PSNR: 38.84dB
MS-SSIM: 18.79dB
Bit-rate: 0.515bpp
PSNR: 35.73dB
MS-SSIM: 22.08dB
Bit-rate: 2.083bpp
PSNR: 36.80dB
MS-SSIM: 21.04dB
Bit-rate: 1.216bpp
PSNR: 38.48dB
MS-SSIM: 19.67dB
Bit-rate: 0.611bpp
PSNR: 38.51dB
MS-SSIM: 20.07dB
Bit-rate: 0.723bpp
PSNR: 38.57dB
MS-SSIM: 20.50dB
Bit-rate: 0.600bpp
PSNR: 36.37dB
MS-SSIM: 19.74dB
Bit-rate: 1.218bpp
PSNR: 37.74dB
MS-SSIM: 19.64dB
Bit-rate: 0.851bpp
PSNR: 39.14dB
MS-SSIM: 20.53dB
Bit-rate: 0.556bpp
PSNR: 37.71dB
MS-SSIM: 20.03dB
Bit-rate: 0.945bpp
PSNR: 37.09dB
MS-SSIM: 19.05dB
Bit-rate: 0.973bpp
PSNR: 39.94dB
MS-SSIM: 20.37dB
Bit-rate: 0.356bpp
PSNR: 37.19dB
MS-SSIM: 21.69dB
Bit-rate: 1.169bpp
average_PSNR: 37.98dB
average_MS-SSIM: 20.5153
average_Bit-rate: 0.896 bpp
average_time: 0.196 ms
