True
True
Loading pretrained_checkpoints/0.05.pth.tar
b
PSNR: 39.65dB
MS-SSIM: 21.04dB
Bit-rate: 0.534bpp
PSNR: 43.06dB
MS-SSIM: 20.49dB
Bit-rate: 0.201bpp
PSNR: 43.86dB
MS-SSIM: 23.58dB
Bit-rate: 0.220bpp
PSNR: 39.90dB
MS-SSIM: 18.41dB
Bit-rate: 0.387bpp
PSNR: 45.29dB
MS-SSIM: 23.74dB
Bit-rate: 0.161bpp
PSNR: 42.82dB
MS-SSIM: 20.75dB
Bit-rate: 0.258bpp
PSNR: 43.78dB
MS-SSIM: 24.81dB
Bit-rate: 0.256bpp
PSNR: 39.18dB
MS-SSIM: 23.20dB
Bit-rate: 0.692bpp
PSNR: 41.03dB
MS-SSIM: 23.15dB
Bit-rate: 0.426bpp
PSNR: 39.86dB
MS-SSIM: 20.82dB
Bit-rate: 0.530bpp
PSNR: 46.38dB
MS-SSIM: 24.47dB
Bit-rate: 0.108bpp
PSNR: 39.47dB
MS-SSIM: 25.79dB
Bit-rate: 0.605bpp
PSNR: 38.85dB
MS-SSIM: 20.35dB
Bit-rate: 0.645bpp
PSNR: 43.30dB
MS-SSIM: 21.53dB
Bit-rate: 0.148bpp
PSNR: 43.78dB
MS-SSIM: 21.58dB
Bit-rate: 0.162bpp
PSNR: 44.38dB
MS-SSIM: 26.36dB
Bit-rate: 0.215bpp
PSNR: 40.24dB
MS-SSIM: 23.09dB
Bit-rate: 0.576bpp
PSNR: 38.12dB
MS-SSIM: 20.85dB
Bit-rate: 0.806bpp
PSNR: 39.63dB
MS-SSIM: 18.38dB
Bit-rate: 0.425bpp
PSNR: 41.66dB
MS-SSIM: 20.18dB
Bit-rate: 0.271bpp
PSNR: 39.69dB
MS-SSIM: 21.56dB
Bit-rate: 0.560bpp
PSNR: 40.67dB
MS-SSIM: 22.74dB
Bit-rate: 0.508bpp
PSNR: 39.93dB
MS-SSIM: 20.33dB
Bit-rate: 0.424bpp
PSNR: 43.12dB
MS-SSIM: 25.35dB
Bit-rate: 0.305bpp
PSNR: 39.11dB
MS-SSIM: 18.45dB
Bit-rate: 0.500bpp
PSNR: 42.41dB
MS-SSIM: 23.14dB
Bit-rate: 0.264bpp
PSNR: 42.59dB
MS-SSIM: 23.42dB
Bit-rate: 0.251bpp
PSNR: 42.09dB
MS-SSIM: 22.92dB
Bit-rate: 0.354bpp
PSNR: 39.44dB
MS-SSIM: 18.18dB
Bit-rate: 0.504bpp
PSNR: 43.05dB
MS-SSIM: 27.46dB
Bit-rate: 0.288bpp
PSNR: 38.40dB
MS-SSIM: 23.64dB
Bit-rate: 0.816bpp
PSNR: 38.54dB
MS-SSIM: 26.55dB
Bit-rate: 0.913bpp
PSNR: 42.57dB
MS-SSIM: 22.11dB
Bit-rate: 0.275bpp
PSNR: 36.97dB
MS-SSIM: 20.93dB
Bit-rate: 1.174bpp
PSNR: 40.96dB
MS-SSIM: 21.38dB
Bit-rate: 0.367bpp
PSNR: 42.26dB
MS-SSIM: 21.00dB
Bit-rate: 0.226bpp
PSNR: 44.69dB
MS-SSIM: 22.93dB
Bit-rate: 0.162bpp
PSNR: 39.68dB
MS-SSIM: 21.77dB
Bit-rate: 0.499bpp
PSNR: 39.81dB
MS-SSIM: 18.70dB
Bit-rate: 0.365bpp
PSNR: 44.95dB
MS-SSIM: 23.34dB
Bit-rate: 0.156bpp
average_PSNR: 41.38dB
average_MS-SSIM: 22.2113
average_Bit-rate: 0.413 bpp
average_time: 0.383 ms
